Title,Subscriber Count,View Count,Engagement
LewisCapaldiVEVO,168000,919151896,5471.14223809524
김경손,8780,27693046,3154.10546697039
Scripps Health,5240,13219421,2522.79026717557
805Bruin,10100,24212031,2397.23079207921
ワーナー ブラザース 公式チャンネル,337000,687577917,2040.29055489614
Zvezde Granda,12500,24890650,1991.252
Key Quý,34200,65574043,1917.36967836257
a-ha,797000,1439923131,1806.67895984944
Panasonic Japan（パナソニック公式）,100000,179589021,1795.89021
RickAstleyVEVO,554000,979641433,1768.30583574007
民視新聞網 Formosa TV News network,669000,1179650565,1763.30428251121
oricon,1020000,1690297087,1657.15400686275
TherevivalistsVEVO,51200,84757572,1655.421328125
ChemicalBrothersVEVO,235000,372024659,1583.08365531915
Kaiser Permanente Thrive,42000,64708426,1540.67680952381
GeorgeEzraVEVO,604000,930103189,1539.90594205298
AnuelVEVO,2600000,3973756861,1528.36802346154
ChrisStapletonVEVO,570000,866726113,1520.57212807018
三立LIVE新聞,1010000,1501091334,1486.22904356436
Estrella Damm,84600,125260571,1480.62140661939
JonasBrothersVEVO,578000,845815107,1463.34793598616
fritz51228,72000,104077412,1445.51961111111
UnitedHealthcare,22300,32125285,1440.59573991031
パラマウント・ピクチャーズ（日本版）,81100,116137620,1432.02983970407
TheBeatlesVEVO,1290000,1819054140,1410.11948837209
Freekaraok Jean Un,3710,5172243,1394.13557951482
LeonardCohenVEVO,356000,482249337,1354.63296910112
Universal Spain,622000,833113196,1339.4102829582
carloscuello2010,20800,26780031,1287.50149038462
연합뉴스TV,552000,697446197,1263.48948731884
CarlosVivesVEVO,3160000,3927184503,1242.77990601266
TOKUMAJAPAN,283000,346799876,1225.44125795053
eri koga,4820,5606204,1163.11286307054
SnowPatrolVEVO,462000,537228599,1162.83246536797
rozalenVEVO,206000,237936964,1155.03380582524
ユニバーサル・ピクチャーズ公式,249000,282306253,1133.76005220884
TrainVEVO,925000,1026256479,1109.46646378378
U2VEVO,1010000,1100171464,1089.27867722772
TheBogeyy,37700,40863930,1083.92387267905
gkhaninan7,81000,87767918,1083.55454320988
Disney Deutschland,524000,564762378,1077.79079770992
Asmik Ace,146000,153970111,1054.58980136986
thestrokesVEVO,695000,724697993,1042.73092517986
NirvanaVEVO,2970000,3065782518,1032.25000606061
VICHYFRANCE,6070,6092314,1003.67611202636
systemofadownVEVO,2820000,2806058755,995.056296099291
XAmbassadorsVEVO,642000,627696728,977.720760124611
맛있는 녀석들 (Tasty Guys),1030000,1006373569,977.061717475728
del7iero,16000,15436675,964.7921875
