channel_id,title,sub_count,video_count,view_count,engagement,country,exported_already,date_of_export,embed_url
UC_TdF-rtQ8N53wHNbknPxkA,Nikias Molina,198000,520,34720203,175.3545606060606,US,False,,
UCdHwip-Xqhp-nZIywpI67sw,Apple 대한민국,296000,97,71876030,242.82442567567568,KR,False,,
UC_dRA4Gl7XHnXvpcP5T0Vww,Apple Россия,625000,123,80819213,129.3107408,RU,False,,
UC6qWJrqJl7IxTvSaPcsrjdQ,Apple Reviews PL,15100,115,2225153,147.36112582781456,PL,False,,
UCkZPQid-34GOEfpp84v9vYg,Around The Apple,22100,369,3616506,163.64280542986424,DE,False,,
UCeP31aK1szGeTW4f0YUlLkw,Shannon Apple,13900,176,20565634,1479.5420143884892,US,False,,
UC2F7S7UWwpA10RBu-EwvTvw,Apple España,342000,129,29348108,85.8131812865497,ES,False,,
UCcI8amOle9rNRHZlvThaMYA,Doctor Apple,56300,522,5327129,94.62040852575488,BR,False,,
UCLP1KayQF-YaYdWPFubTlxQ,Apple Italia,411000,129,29894343,72.73562773722628,IT,False,,
UC9ppZ3KrIRTwTev4yz7k-SQ,color apple,62300,780,43909402,704.8058105939004,,False,,
UC1X0BSe3KboTiP5TtXi6Mpg,Apple México,2080000,227,206283543,99.17478028846153,MX,False,,
UCxZnPTdmJijjiLfS3ysJr8w,Apple Explorer,24100,134,8274620,343.34522821576763,,False,,
UCSQeTO5jMJNly5FC_itdN9Q,Apple Tape BTS,181000,222,33642077,185.86782872928177,KR,False,,
UCQMsiUhr6h3mQssDqXmQyCQ,Unlock Apple,301000,169,43351940,144.02637873754153,PL,False,,
UCU3eT4OHoVWRsZpRy_TYouQ,Apple Caffè,24500,441,3479420,142.01714285714286,IT,False,,
UCoRWj9kt6kmLFaSFvEhRQEw,Mark's Daily Apple,70700,119,5027078,71.10435643564357,US,False,,
UCgrxyDlTea9kiHsMghxUn8w,Yumy Apple,140000,139,71693030,512.0930714285714,ES,False,,
UCX4K7Pf1yifbdlVDbk3_hgw,로튼애플 영화리뷰 (Rotten Apple Movie Review),97100,77,17342878,178.60842430484038,KR,False,,
UCE5_hf5ONW6_qy9ShfYfB4w,Apple Canada,172000,147,24206197,140.7337034883721,CA,False,,
UCee_n3579JnCwQj7DSxZF2A,Apple Finder,81100,516,18172049,224.06965474722566,RU,False,,
UColGq9X_Fi9LedYSK6ZfrkQ,not an apple fan,25800,618,5896620,228.55116279069767,IE,False,,
UCA91dO50p1FM47m1YcPXjVQ,Apple Juice,18600,186,2924966,157.25623655913978,RU,False,,
UCgWA7ejOiLQCHvx8X5NjiXw,APPLE STUDIO DANCE,53800,620,7343913,136.50395910780668,TW,False,,
UCTtZPn_bD6ekitgbfakcsgg,Apple Juice Teaching,6720,328,1783987,265.47425595238093,US,False,,
UC9HlTzRBNcvhWSyoCmgjLbw,USCOM - Apple Store,53500,1224,29291066,547.4965607476636,VN,False,,
UCnfwox4zLRPkewHSQBop_fA,Apple Drains,58100,821,38661389,665.4283820998279,,False,,
UCBCQ-YdmMIA_JEaFMS8nqtg,Apple UAE,195000,178,18287033,93.77965641025641,AE,False,,
UCD2bOuRrVhzAIp8KH_W8Pig,Kevin by Apple,51600,1075,5100596,98.84875968992247,,False,,
UCshFIa7kfKPDJRkg8Ka_0qQ,Apple ไทย,1170000,116,109628564,93.69962735042735,TH,False,,
UCkkjSGs5-Rh81r2mz6vxOOw,Apple Teknik Servis Saints Computer,25600,134,6357780,248.35078125,TR,False,,
UC2lryVhkBJvDqujq4ZG78hQ,Distrito Apple,0,60,571338,0.0,MX,False,,
UCqrq_YZP7-_bZ9yIYIOAa4g,Apple Australia,114000,149,11041489,96.85516666666666,AU,False,,
UCbEqvOqNK9KLrBkUSrd1XiA,Mrs. GREEN APPLE,35800,5,10321665,288.31466480446926,,False,,
UC9YjpkEvaa2BxtIw22oHWRQ,"THOME - Apple, iPhone, iPad, Mac, Gadżety, Recenzje",3200,414,1689409,527.9403125,PL,False,,
UChVnrEhloiqbWZPqGz1JTLA,Crimson Apple,50200,33,1772986,35.318446215139446,US,False,,
UCRGmybPFUR-a_WErDrw2C6Q,Apple,4710,10,245286,52.07770700636943,SE,False,,
UCzy1ev-3tCoIXJYLQb3156g,Apple Fox,90200,647,26240645,290.91624168514414,,False,,
UCdFZnncGn4BuqPr6rJE4jjQ,APPLE STATION PRO,94100,356,6761319,71.85248671625929,ES,False,,
UC8_Yg4sKsf1CZFY-uW6PROw,"K-tuin, tiendas Apple",20500,323,5657851,275.9927317073171,ES,False,,
UCbWIPo7DXZPs8_NpHroF5SA,Apples & Tiaras,27700,303,3739335,134.99404332129964,,False,,
UCxggZHHdfarW4YsBcueaNSw,Royal Apple Berry,33700,486,2366945,70.23575667655787,US,False,,
UCgb9EduuQ0B9G0gq-m5v1dQ,Apple Austen,12600,140,915613,72.66769841269841,US,False,,
UCtFUJKqP_HSNxP2BW0drpFw,instrukcje Apple,42300,139,6251704,147.79442080378251,PL,False,,
UCNVEosBert4OFUBoJ_P2R5g,Apple Singapore,200000,133,15782230,78.91115,SG,False,,
UCIfF4QuRjrwmaY0zZNKAgFQ,Moonlight Apple,41100,57,14340691,348.92192214111924,HU,False,,
UCz_GOaSgDt5zDXcusQW7S_Q,Apple Slices Unite,3850,538,780851,202.81844155844155,US,False,,
