video_id,channel_id,video_title,description,channel_title,view_count,exported_already,date_of_export,embed_url
qA2aZvNX9s4,UCWJ2lWNubArHWmf3FIHbfcQ,qA2aZvNX9s4,"LAKERS at NUGGETS | FULL GAME HIGHLIGHTS | September 22, 2020

Led by Jamal Murray’s 28 PTS, 8 REB and 12 AST, the Denver Nuggets defeated the Los Angeles Lakers, 114-106, in Game 3. Additionally for the Nuggets, Nikola Jokic added 22 PTS, 10 REB and 5 AST in the victory, while LeBron James tallied 30 PTS, 10 REB and 11 AST for the Lakers, his 26th career playoff triple-double. The Lakers lead this best-of-seven series, 2-1.

Game 4: Thursday, September 24 at 9:00pm/et on TNT

Subscribe to the NBA: https://on.nba.com/2JX5gSN 

Full Game Highlights Playlist: https://on.nba.com/2rjGMge

For news, stories, highlights and more, go to our official website at https://nba_webonly.app.link/nbasite

Get NBA LEAGUE PASS: https://nba.app.link/nbaleaguepass5","LAKERS at NUGGETS | FULL GAME HIGHLIGHTS | September 22, 2020",2207102,False,,https://www.youtube.com/embed/qA2aZvNX9s4
qKp1f7Vn9dM,UCXQIVincj_W4CYfWKB1iPVQ,qKp1f7Vn9dM,"Camilo - Vida De Rico (Official Video) 

Música:

Apple Music: https://SML.lnk.to/VidadeRico
Spotify: https://smarturl.it/VidadeRico/spotify 
Amazon Music: https://smarturl.it/VidadeRico/az
YouTube: https://smarturl.it/VidadeRico/youtube 
iTunes: https://smarturl.it/VidadeRico/itunes 
Deezer: https://smarturl.it/VidadeRico/deezer

Lyrics:

Yo puedo ofrecerte una vida muy interesante
Pero depende para ti
Qué es interesante
Si estás pensando en discotecas, carros y diamantes
Entonces puede que pa ti
Sea insignificante 

No es vida de rico
Pero se pasa bien rico
Y si en la casa no alcanza pal aire 
Te pongo abanico

Yo no tengo pa darte ni un peso
pero sí puedo darte mis besos,
Pa sacarte yo tengo poquito
Pero es gratis bailar pegaito
Yo no tengo pa abrirte champaña
Pero sí cervecita en la playa
Aunque es poco lo que yo te ofrezco
Con orgullo
Todo lo que tengo es tuyo

Sería mentira decir que ahora mismo
Puedo darte el viaje que tú te mereces 
No será Europa pero el sol cayendo 
Desde mi balcón medio se le parece
Y yo que tú no me acostumbraría 
A estar aquí en estas cuatro paredes
Haría todo pa comprarte un día
Casa con piscina si Diosito quiere

Yo no tengo pa darte ni un peso
pero sí puedo darte mis besos,
Pa sacarte yo tengo poquito
Pero es gratis bailar pegaito
Yo no tengo pa abrirte champaña
Pero sí cervecita en la playa
Aunque es poco lo que yo te ofrezco
Con orgullo
Todo lo que tengo es tuyo

Aunque no es mucho
Es tuyo, tuyo, tuyo

No es vida de rico
Pero se pasa bien rico
Y si en la casa no alcanza pal aire 
Te pongo abanico

Yo no tengo pa darte ni un peso
pero sí puedo darte mis besos,
Pa sacarte yo tengo poquito
Pero es gratis bailar pegaito
Yo no tengo pa abrirte champaña
Pero sí cervecita en la playa
Aunque es poco lo que yo te ofrezco
Con orgullo
Todo lo que tengo es tuyo


Facebook: https://www.facebook.com/camilomusica 
Twitter: https://twitter.com/camilomusica 
Instagram: https://www.instagram.com/camilomusica 
TikTok: https://smarturl.it/VidadeRico/tiktok

#Camilo #VidaDeRico 

Official Music Video by Camilo performing “Vida De Rico"" (C) 2020 Sony Music Entertainment US Latin LLC",Camilo - Vida de Rico (Official Video),10784823,False,,https://www.youtube.com/embed/qKp1f7Vn9dM
1WI4Fb6E9co,UCXOKEdfOFxsHO_-Su3K8SHg,1WI4Fb6E9co,"Get Surfshark VPN at https://Surfshark.deals/dumpling and enter promo code DUMPLING for 83% off and 3 extra months for free!

I've been doing a lot of Asian market reviews and haven't checked out Costco's item's yet so I wanted to see Costco's frozen and instant foods. 

★ Check out my Twitch: https://www.twitch.tv/eatwithmikey

***MORE EXCLUSIVE Content on Instagram***
✩ http://instagr.am/Mikexingchen

➔ Get tickets to the best show on earth!!! http://bit.ly/2gu7REI

✸ Strictly Dumpling T-Shirts HERE: http://bit.ly/2IVM2ts

➣ Subscribe for MORE videos about food! http://bit.ly/1hsxh41
➣ Subscribe to my Vlog Channel! https://bit.ly/2FJOGo1
------------------------------------------------------------------------------------------
★↓FOLLOW ME ON SOCIAL MEDIA!↓★
Facebook Show Page: https://www.facebook.com/strictlydumpling
Facebook Mike Fan Page: https://www.facebook.com/mikeychenx
Twitter: http://twitter.com/Mikexingchen

◈ Equipment I use for filming◈ :
Sony RX100 Mark V: https://go.magik.ly/ml/cgc5/
PANASONIC LUMIX G85: https://go.magik.ly/ml/cgcd/
Wide Angle Lens: https://go.magik.ly/ml/cgck/
Camera Mic: https://go.magik.ly/ml/cgcn/
Camera Lights: https://go.magik.ly/ml/cgcq/
Handheld Audio Recorder: https://go.magik.ly/ml/cgcr/
Tripod: https://go.magik.ly/ml/cgcu/
Drone: https://go.magik.ly/ml/cgcx/

My Favorite Cookware！
wok/pan http://amzn.to/2f5G0up
Also this pan http://amzn.to/2f5Qnyi
Pressure pan http://amzn.to/2wJIS7u
Nonstick pot http://amzn.to/2wHRgq1
-------------------------------------
♫ Music from: Epidemic Sound
http://www.epidemicsound.com","TRYING COSTCO Instant Noodles, ASIAN FOOD | COSTCO Food Tour!",766517,False,,https://www.youtube.com/embed/1WI4Fb6E9co
BHiWygziyso,UCY1kMZp36IQSyNx_9h4mpCg,BHiWygziyso,"It took 8 months, 150 tests and over 1,000 total working hours to reclaim what is rightfully mine :) 
Get your first month of KiwiCo for FREE!!! https://www.kiwico.com/markrober

Let's give Fletcher one final surprise and go subscribe to his channel.  At this moment he has 2 subs and I'm one of them.  https://www.youtube.com/channel/UCxL16LohM2T4mvJCbR6n5Vw

***music from indépendant artists****
:18 - Toy by Ponder https://www.prodbyponder.com/5-free-beats32029775 
1:13 - Cereal Killa - Blue Wednesday https://soundcloud.com/bluewednesday/
2:07 - Chi by Ponder https://www.prodbyponder.com/5-free-beats32029775
2:40 - Berlin - Andrew Applepie - http://andrewapplepie.com/
3:32 - Kalimba Jam - Blue Wednesday https://soundcloud.com/bluewednesday/
5:32 - New Shoes - Blue Wednesday https://soundcloud.com/bluewednesday/
7:46 - Danijel Zambo - Dance https://danijel-zambo.bandcamp.com/track/dance 
9:03 - Arrow (Instrumental) - Andrew Applepie http://andrewapplepie.com/
12:33 - For Mum by Andrew Applepie https://soundcloud.com/andrewapplepie/for-mum 
12:58 - Pata Pata - Miriam Makeba (Matt Cherne Remix) https://www.chernebeats.com
17:40 - Run (part 2) by Andrew Applepie - http://andrewapplepie.com/ 
23:23 - Too Happy to be cool by Notebreak - https://soundcloud.com/notebreak/dubstep-too-happy-to-be-cool",World's Largest Devil's Toothpaste Explosion,12617605,False,,https://www.youtube.com/embed/BHiWygziyso
Bhg-Gw953b0,UChUJa1JyBc7Lc4orkiNKKQg,Bhg-Gw953b0,"#Jack #HoaHaiDuong #J97 #VieNetwork
Jack | Hoa Hải Đường | Official Music Video
---
Đón nghe ""Hoa Hải Đường"" trên: 
Spotify: https://spoti.fi/35Y6mK4
Apple Music: https://geo.itunes.apple.com/at/album/id1532720564?at=1l3v9Tx
ZingMP3: https://zingmp3.vn/bai-hat/Hoa-Hai-Duong-Jack/ZWDAAU8Z.html
---
Composer: JACK (J97)
Singer: JACK (J97)
Music Producer: DTAP
Mix and Master : JACK (J97)
Record (KHAI DANG (i997) - DOAN DUY HIEU)
Music Video produced by Nomad Management Vietnam
Nomad Management Vietnam
Executive Director: NGUYỄN DANH QUÝ
Head of Talent Hub: LÊ ĐÌNH TOÀN
Artist Manager: THANH HUYỀN
Business Development Director: LÊ THỊ THANH QUÝ
Vie Network: ĐỖ VẠN NHỰT - NGUYỄN TRUNG TÍN  
Social Media: THANH HUYỀN - SOSANOO - HUỲNH TRẦN
Press Relation Manager: GG1989
Project Management Executive: HUỲNH VY NHƯ Ý
Artist Assistant: TIÊN LÊ
Graphic Designer: TUẤN MAXX
Photographers: MINH ĐỨC MINUKE - DUY NGUYỄN - VIỆT ANH - THÀNH LUÂN - GIA BẢO - HẢI ĐĂNG
PRODUCTION: CHAIDAO
Director : KHƯƠNG VŨ
Project Manager: THANH HUYỀN NGUYỄN
Producer : TIẾN MINH - VĨNH DUY - LY BÙI
Director of Photography: ANH DƯƠNG (TÚT)
Art Director: SUN LE
Camera Operator: PHƯỚC HẬU 
Focus Puller: BIN RY
Scrip write : JAMEZZ 
Assistant Director 1: LÊ HOÀNG PHƯƠNG
Assistant Director 2 : SE7EN
Assistand Director 3 : QUẾ LÂM
Assistant Production: NGUYỄN QUANG DŨNG - TRẦN BẢO
Gaffer 1 : ANH GIÀU - PSVN (ngày 1,2)
Gaffer 2 : ANH BỐI - YOUNG MEDIA (ngày 3)
Prop Master: NGỌC LAN
Prop Production: NGỌC LAN TEAM
Editor : KHƯƠNG VŨ
Granding : ANH DƯƠNG
Roto & clean : ĐĂNG ĐẶNG
VFX Supervisor : ANDY WANG
VFX Team : SPICE SHOP BY THE POST BANGKOK
BTS : ANH HUY DAN – SƠN NHỎ - KHA PHÚ - BÌNH TÂN - SƠN DƯƠNG ĐINH
Data : LÊ DUY MINH
Actress : LINH CHI
Cascadeur : QUỐC THỊNH TEAM
Choreography: DƯƠNG ANH MỸ
Dancer : S4 CREW
Stylist : NA BÓNG CHÚA – QUANG MINH (Headless Team) - KYE NGUYEN
Makeup & hair :  HOÀNG VINH - KHAI LÊ - JUSTYLE
Equipment & Lighting : PS VIỆT NAM – YOUNG MEDIA
Catering : HUỲNH NHỰC TEAM
Casting extra: CÔ NGA – NGỌC KHANH
Location Manager: TUẤN ANH TEAM (Shooting)
Transporter: ANH NHÂN
Hà Nội Unit :
Assistant Production HN: DƯƠNG VÂU - NGUYỄN TUẤN DŨNG - HẢI TRIỀU LÊ NGUYỄN
Rental House - Equipment & Lighting: CINE HANOI ft SƠN NHỎ
Transporter: EM DƯƠNG (Serato)
Costumes: DVRK, PING PONG, AAH MIDNIGHT CLUB, YONDON, HOÀNG TRẦN, LƯƠNG NGHỆ KỲ, BONJOUR VÕ VĂN TẦN, KENZO #KENZO #TAMSONFASHION #KENZOVIETNAM
Accesories: ARM, VERTICAL, APEX SOLITAIRE JEWELRY, BALENCIAGA.
Shoes: ONITSUKA TIGER
---
Chính sách reaction, cover, parody: https://vienews.vn/chinh-sach-hoa-hai-duong-jack-j97/
---
Chào mừng bạn đến với Youtube chính thức của Jack.
Các bạn nhớ Subscribe, Like và Share để ủng hộ tinh thần cho Jack và nhận được những thông tin, video mới nhất về các hoạt động nghệ thuật của Jack  nhé.

Fanpage chính thức: https://www.facebook.com/jack.phuongtuan1204/
Facebook cá nhân: https://www.facebook.com/PhuongTuan1997
Instagram: https://www.instagram.com/iamjack1997/
Kênh youtube: http://bit.ly/YoutubeJ97
Trang tin tức Jack: https://vienews.vn/j97.html
Rất cảm ơn cả nhà đã ủng hộ Jack trong suốt thời gian qua!

© Bản quyền thuộc về JACK - J97
© Copyright by JACK - J97 ☞ Do not Reup",Jack | Hoa Hải Đường | Official Music Video,19774444,False,,https://www.youtube.com/embed/Bhg-Gw953b0
8Izb-Q36btQ,UCt8jfvd9skBAOT6XJwc_mJg,8Izb-Q36btQ,"Steve Harvey was not expecting this answer from 14-year-old Jason! Name something a man might say his ex-wife and an elephant have in common...

Get the Family Feud BOARD GAME!
► https://amzn.to/2ZneU9o

Play on your PHONE or TABLET!
► https://bit.ly/2RrMnLo

SUBSCRIBE
► http://bit.ly/FamilyFeudSub

SOCIAL
► @FamilyFeud

WEBSITE
► FamilyFeud.com",Steve Harvey stopped cold by 14-year-old Jason's answer! | Family Feud,132142,False,,https://www.youtube.com/embed/8Izb-Q36btQ
ZI58Itw9B7A,UCMiJRAwDNSNzuYeN2uWa0pA,ZI58Itw9B7A,"Samsung IS working on a transparent smartphone. That much we're sure about. But I'm almost certain it will fail, for ONE reason...

Subscribe for more content (IT'S FREE) : https://goo.gl/pLg6fE
It would make my day if you could also follow me on:
🌈 Instagram: https://goo.gl/OUqBBa
🐦 Twitter: https://goo.gl/EFhwqL
😊 Facebook: https://goo.gl/Aluzl1

Amazon Affiliate links:
Amazon US: https://goo.gl/3yS2aP
Amazon UK: https://goo.gl/gvrsGZ

My Filming Gear:
https://goo.gl/5HKrBp

Music is from Epidemic sound:
http://share.epidemicsound.com/pHDFT",Why Samsung's Transparent Phone will fail.,2053461,False,,https://www.youtube.com/embed/ZI58Itw9B7A
8rR3fjPkpyc,UCwrck-lD9ERHLWxWDD8_uyA,8rR3fjPkpyc,"*themed ~aesthetic~ iPhone iOS 14 UPDATE (step-by-step quick, simple, & easy to follow tutorial) & whats on my iPhone Pro MA | how I customized using the NEW iOS 14, new app organization & icons, themed background, & customizable widgets! 

MENTIONS //
Apps Used | 
shortcuts: https://apps.apple.com/us/app/id915249334
widget smith: https://apps.apple.com/us/app/widgetsmith/id1523682319
My Background | 
*second picture down 
https://wallpaperaccess.com/calm-aesthetic
My Icon Covers |
aesthetic app covers: https://www.etsy.com/shop/IsabelaSchielke?ref=simple-shop-header-name&listing_id=774753171&page=1#items
gemini theme: just type in google 'tumblr devil/angel aesthetic'
My iPhone Case:
https://www.casetify.com/renee *20% OFF*
the mirrored case: https://www.casetify.com/product/standard-case-customization/iphone11-pro/mirror-case?color=silver#/16000193 

Others //
Shirt I'm Wearing: https://go.magik.ly/ml/10i5d/
Earrings: https://go.magik.ly/ml/10nvo/ 

♡ SHOP MY LIFE!
My Amazon Shop: https://www.amazon.com/shop/reneeamberg

♡ More Vlogs: https://goo.gl/w8Ec94

♡ My Camera: https://amzn.to/323Bum3

Let’s be Friends!

♡ Instagram/Twitter: @reneeamberg

♡ Goodreads : Current Books I’m Reading: https://goo.gl/dRTfz5

♡ Spotify / Music Playlists: https://open.spotify.com/user/499i88qeschl8yz5pkjnx3yqs

♡ Shop My Closet: https://poshmark.com/closet/reneeamberg

♡ For Business Inquiries Only: reneeamberg1@gmail.com

#iOS14 #aesthetic #tutorial #widgets #customize #easytofollow #update #themed #whatsonmyiphone 

♡ Music Deets:
All music from Epidemic Sound
http://share.epidemicsound.com/MW7sT

FTC: This video is NOT sponsored. 
This video may contain affiliate links, which means I may receive a commission for purchases made through my links.",*aesthetic iOS 14 TUTORIAL* | step-by-step themed iPhone background,813351,False,,https://www.youtube.com/embed/8rR3fjPkpyc
Egn3CuQRHW8,UCp0hYYBW6IMayGgR-WeoCvQ,Egn3CuQRHW8,"At the start of her new season, Ellen discussed the changes at the show.

#Ellen
#TheEllenShow
#EllenDeGeneres",Ellen's First Monologue of Season 18,1862886,False,,https://www.youtube.com/embed/Egn3CuQRHW8
w7A9BW0z5rE,UCwDi_r3CCE2WjmiY3MWSF-w,w7A9BW0z5rE,"Remix oficial de ""Enemigos Ocultos"" 

Ozuna ft T.Y.S, Rochy RD, Wilmer Roberts, Shelow Shaq, Musicologo & Omega El Fuerte
Mix by Light GM
Dale a me gusta & compartir!!!",ENEMIGOS OCULTOS REMIX - OZUNA X T.Y.S X ROCHY X WILMER ROBERTS X SHELOW SHAQ X MUSICOLOGO X OMEGA,1310597,False,,https://www.youtube.com/embed/w7A9BW0z5rE
